id,name,description,price,stock
1,Rice,1 kilogram package of white rice,2.86,120.33
2,Black beans,500 gram package of black beans,1.58,73.78
3,Oil,1 liter bottle of vegetable oil,5.02,62.43
4,Milk,1 liter bottle of skim milk,1.59,29.67
5,Eggs,Dozen fresh eggs,2.89,56.24
6,Bread,White sandwich bread,1.41,60.25
7,Cheese,Fresh cow cheese,3.47,31.67
8,Ham,200 gram package of cooked ham,3.35,19.55
9,Tuna,Can of tuna in olive oil,2.45,13.73
10,Pasta,500 gram package of short pasta,1.0,68.51
11,Tomato sauce,500 gram jar of tomato sauce,1.65,58.16
12,Coffee,250 gram package of ground coffee,5.93,8.71
13,Sugar,1 kilogram package of white sugar,1.23,88.72
14,Salt,1 kilogram package of fine salt,0.98,100.75
15,Vinegar,500 ml bottle of apple cider vinegar,1.63,60.52
16,Orange juice,1 liter bottle of natural orange juice,3.21,40.48
17,Soda,2 liter bottle of cola soda,1.82,27.87
18,Potato chips,200 gram bag of potato chips,1.0,83.87
19,Cookies,250 gram package of oatmeal cookies,1.89,50.21
20,Gum,10 piece pack of mint gum,0.55,141.09
